timestamp;value
0-0-10-001000;107 
0-0-10-004000;33 
0-0-10-006000;-1 
0-0-10-008000;0 
0-0-10-010000;12 
0-0-10-012000;30 
0-0-10-014000;60 
0-0-10-016000;92 
0-0-10-018000;135 
0-0-10-020000;97 
0-0-10-022000;84 
0-0-10-024000;-19 
0-0-10-026000;-7 
0-0-10-028000;-45 
0-0-10-030000;3 
0-0-10-032000;-14 
0-0-10-034000;36 
0-0-10-036000;89 
0-0-10-039000;104 
0-0-10-041000;86 
0-0-10-042000;38 
0-0-10-044000;-30 
0-0-10-046000;-41 
0-0-10-048000;-68 
0-0-10-050000;-41 
0-0-10-052000;-22 
0-0-10-054000;-10 
0-0-10-056000;46 
0-0-10-068000;-7 
0-0-10-070000;-12 
0-0-10-072000;9 
0-0-10-075000;58 
0-0-10-077000;77 
0-0-10-079000;94 
0-0-10-081000;96 
0-0-10-083000;54 
0-0-10-084000;0 
0-0-10-086000;-19 
0-0-10-088000;-25 
0-0-10-090000;-15 
0-0-10-092000;20 
0-0-10-094000;73 
0-0-10-096000;69 
0-0-10-098000;130 
0-0-10-100000;87 
0-0-10-102000;79 
0-0-10-104000;-7 
0-0-10-106000;-19 
0-0-10-109000;-56 
0-0-10-111000;4 
0-0-10-113000;-1 
0-0-10-115000;66 
0-0-10-117000;57 
0-0-10-119000;111 
0-0-10-121000;82 
0-0-10-123000;53 
0-0-10-124000;-12 
0-0-10-126000;-31 
0-0-10-128000;-32 
0-0-10-130000;-31 
0-0-10-132000;-4 
0-0-10-134000;60 
0-0-10-136000;75 
0-0-10-138000;109 
0-0-10-140000;93 
0-0-10-143000;32 
0-0-10-145000;12 
0-0-10-147000;-28 
0-0-10-149000;-7 
0-0-10-151000;-21 
0-0-10-153000;56 
0-0-10-155000;38 
0-0-10-157000;105 
0-0-10-159000;109 
0-0-10-161000;113 
0-0-10-163000;27 
0-0-10-165000;-11 
0-0-10-166000;-24 
0-0-10-168000;-17 
0-0-10-170000;-7 
0-0-10-172000;-1 
0-0-10-174000;79 
0-0-10-177000;90 
0-0-10-179000;127 
0-0-10-181000;89 
0-0-10-183000;32 
0-0-10-185000;-41 
0-0-10-187000;-95 
0-0-10-189000;-125 
0-0-10-191000;-124 
0-0-10-193000;-114 
0-0-10-195000;-72 
0-0-10-197000;-45 
0-0-10-199000;-45 
0-0-10-201000;-97 
0-0-10-203000;-162 
0-0-10-205000;-192 
0-0-10-207000;-190 
0-0-10-208000;-236 
0-0-10-211000;-185 
0-0-10-213000;-137 
0-0-10-215000;-72 
0-0-10-217000;42 
0-0-10-219000;99 
0-0-10-221000;111 
0-0-10-223000;114 
0-0-10-225000;90 
0-0-10-227000;32 
0-0-10-229000;43 
0-0-10-231000;62 
0-0-10-233000;81 
0-0-10-235000;136 
0-0-10-237000;175 
0-0-10-239000;138 
0-0-10-241000;133 
0-0-10-243000;82 
0-0-10-246000;23 
0-0-10-248000;-2 
0-0-10-249000;10 
0-0-10-251000;27 
0-0-10-253000;81 
0-0-10-255000;91 
0-0-10-257000;131 
0-0-10-259000;130 
0-0-10-261000;102 
0-0-10-263000;44 
0-0-10-265000;-4 
0-0-10-267000;-24 
0-0-10-279000;150 
0-0-10-282000;97 
0-0-10-284000;28 
0-0-10-286000;10 
0-0-10-288000;-6 
0-0-10-291000;23 
0-0-10-293000;44 
0-0-10-295000;81 
0-0-10-297000;123 
0-0-10-299000;154 
0-0-10-301000;91 
0-0-10-303000;48 
0-0-10-305000;7 
0-0-10-307000;-10 
0-0-10-309000;3 
0-0-10-311000;-13 
0-0-10-313000;47 
0-0-10-316000;82 
0-0-10-318000;104 
0-0-10-320000;95 
0-0-10-322000;60 
0-0-10-324000;-20 
0-0-10-326000;-35 
0-0-10-328000;-42 
0-0-10-330000;-32 
0-0-10-332000;3 
0-0-10-333000;53 
0-0-10-335000;68 
0-0-10-337000;112 
0-0-10-339000;79 
0-0-10-341000;28 
0-0-10-343000;2 
0-0-10-345000;-37 
0-0-10-347000;-35 
0-0-10-350000;-21 
0-0-10-352000;36 
0-0-10-354000;44 
0-0-10-356000;107 
0-0-10-358000;91 
0-0-10-360000;111 
0-0-10-362000;54 
0-0-10-364000;21 
0-0-10-366000;-20 
0-0-10-368000;-48 
0-0-10-370000;-42 
0-0-10-372000;7 
0-0-10-374000;22 
0-0-10-375000;93 
0-0-10-377000;92 
0-0-10-379000;78 
0-0-10-381000;58 
0-0-10-384000;4 
0-0-10-386000;-75 
0-0-10-388000;-61 
0-0-10-390000;-69 
0-0-10-392000;-60 
0-0-10-394000;9 
0-0-10-396000;25 
0-0-10-398000;81 
0-0-10-400000;80 
0-0-10-402000;26 
0-0-10-404000;-15 
0-0-10-406000;-54 
